threshold,missed_frauds,false_alarms,fraud_loss_eur,review_cost_eur,total_cost_eur,is_cost_optimal,is_tuned_threshold
0.76,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.765,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.77,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.775,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.78,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.785,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.79,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.795,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.8,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.805,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.81,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.815,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.82,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.825,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.83,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.835,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.84,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.845,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.85,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.855,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.86,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.865,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.87,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.875,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.88,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.885,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.89,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.895,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.9,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.905,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.91,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.915,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.92,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.925,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.93,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.935,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.94,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.945,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.95,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
